entry_idx,exit_idx,entry_time,exit_time,entry,exit,sl,tp,r_result,exit_reason,schema_version,ticker,interval,strategy,market_mode,data_start,data_end
557.0,557.0,2025-06-10 01:15:00,2025-06-10 01:15:00,10.2801375,10.2266841,10.2318,10.395,-1.318511249030249,SL,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
564.0,564.0,2025-06-10 20:30:00,2025-06-10 20:30:00,10.2901425,10.3898025,10.233,10.395,1.563982281139274,TP,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
593.0,593.0,2025-06-11 21:15:00,2025-06-11 21:15:00,10.2901425,10.22218635,10.2273,10.6,-1.2451174364482651,SL,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
608.0,608.0,2025-06-12 01:00:00,2025-06-12 01:00:00,10.24522005,10.17620935,10.1813,10.6,-1.2399226854484633,SL,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
619.0,619.0,2025-06-12 21:15:00,2025-06-12 21:15:00,10.24512,10.211891500000002,10.217,10.6,-1.546003556187728,SL,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
635.0,637.0,2025-06-13 01:15:00,2025-06-13 01:45:00,10.255125,10.1507221,10.1558,10.6,-1.1543722627737207,SL,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
642.0,642.0,2025-06-13 20:30:00,2025-06-13 20:30:00,10.255125,10.15741875,10.1625,10.5,-1.1655748987854244,SL,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
667.0,,2025-06-14 02:45:00,,9.82491,,9.7421,9.9399,,CANCELED,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
668.0,,2025-06-16 20:30:00,,9.82491,,9.7393,10.105,,CANCELED,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
693.0,,2025-06-17 02:45:00,,10.32516,,10.2152,10.5295,,CANCELED,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
746.0,,2025-06-20 20:30:00,,9.9999975,,9.7514,10.8999,,CANCELED,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
751.0,752.0,2025-06-20 21:45:00,2025-06-20 22:00:00,10.56528,10.404795,10.41,10.8999,-1.101560278207111,SL,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
790.0,,2025-06-24 01:00:00,,10.2000975,,10.0446,10.8999,,CANCELED,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
796.0,824.0,2025-06-24 02:30:00,2025-06-25 20:30:00,10.635315,11.7477232,10.0682,11.7536,1.9427680188321568,TP,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
861.0,,2025-06-26 23:15:00,,12.0710325,,11.9477,12.6699,,CANCELED,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
876.0,876.0,2025-06-27 20:30:00,2025-06-27 20:30:00,13.14657,13.2883525,13.0899,13.295,2.2699122992764904,TP,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
901.0,902.0,2025-06-28 02:45:00,2025-06-30 20:30:00,14.02701,14.282855,13.8669,14.29,1.5103240896883483,TP,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
925.0,926.0,2025-07-01 02:15:00,2025-07-01 02:30:00,14.857425,14.68415425,14.6915,15.14,-1.1338145246346178,SL,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
960.0,960.0,2025-07-02 22:00:00,2025-07-02 22:00:00,14.86743,14.7888019,14.7962,15.14,-1.312586410220416,SL_INTRABAR,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
986.0,994.0,2025-07-03 22:00:00,2025-07-07 20:30:00,16.94847,15.591100550000002,15.5989,18.525,-1.0183376334684369,SL,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
996.0,1027.0,2025-07-07 21:00:00,2025-07-08 22:15:00,16.94847,17.240675350000004,15.6091,18.525,0.2055122034986621,TIME_STOP,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
1047.0,1047.0,2025-07-09 20:45:00,2025-07-09 20:45:00,17.14857,16.971010250000003,16.9795,18.525,-1.1516432246998245,SL,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
1058.0,1061.0,2025-07-09 23:30:00,2025-07-10 00:15:00,17.14857,16.95961595,16.9681,18.525,-1.142032581592508,SL,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
1080.0,1090.0,2025-07-10 22:30:00,2025-07-11 01:00:00,17.10855,17.0106904,17.0192,18.3,-1.2867168438724133,SL,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
1099.0,1103.0,2025-07-11 20:45:00,2025-07-11 21:45:00,17.04852,16.87086035,16.8793,17.9167,-1.1506214986408214,SL,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
1124.0,,2025-07-14 20:30:00,,16.3431675,,16.162,18.5,,CANCELED,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
1126.0,1157.0,2025-07-14 21:00:00,2025-07-15 22:15:00,17.888939999999998,16.6666625,16.3421,20.9559,-0.8017418996146967,TIME_STOP,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
1169.0,1170.0,2025-07-16 01:15:00,2025-07-16 01:30:00,16.818405,16.72653255,16.7349,18.635,-1.301608945572101,SL,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
1174.0,,2025-07-16 02:30:00,,16.698345,,16.574,18.635,,CANCELED,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
1177.0,1208.0,2025-07-16 20:45:00,2025-07-17 22:00:00,16.92315735,17.8860525,16.7725,18.635,6.278963440217186,TIME_STOP,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
1228.0,1228.0,2025-07-18 20:30:00,2025-07-18 20:30:00,18.1140525,18.35082,17.9864,18.36,1.7128802608644502,TP,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
1230.0,1230.0,2025-07-18 21:00:00,2025-07-18 21:00:00,18.3241575,17.9174368,17.9264,18.86,-1.0686029993149095,SL,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
1281.0,1281.0,2025-07-22 20:45:00,2025-07-22 20:45:00,17.6738325,17.781105,17.4659,18.86,0.4309026607192299,TIME_STOP,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
1296.0,1304.0,2025-07-23 00:30:00,2025-07-23 02:30:00,18.6042975,18.372908950000003,18.3821,21.54,-1.1250929803440577,SL,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
1306.0,1306.0,2025-07-23 20:30:00,2025-07-23 20:30:00,18.50134605,18.363713550000003,18.3729,21.54,-1.2155597314981537,SL,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
1341.0,1343.0,2025-07-24 22:45:00,2025-07-24 23:15:00,18.44922,18.3160374,18.3252,19.36,-1.2226400580551475,SL,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
1347.0,1358.0,2025-07-25 00:15:00,2025-07-25 20:30:00,18.1740825,17.95611745,17.9651,19.36,-1.1299469213929358,SL,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
1383.0,1383.0,2025-07-26 02:45:00,2025-07-26 02:45:00,17.92896,17.8044933,17.8134,18.045,-1.232222741433031,SL,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
1697.0,1697.0,2025-08-13 20:45:00,2025-08-13 20:45:00,17.923957499999997,17.832079500000003,17.841,18.07,-1.323592893951722,SL_INTRABAR,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
